gid,nome,tipo,fk
40,Carapicuíba,MUNICÍPIO,31
41,Salto de Pirapora,MUNICÍPIO,31
42,Taguaí,MUNICÍPIO,31
43,Boituva,MUNICÍPIO,31
44,Encruzilhada,MUNICÍPIO,29
70,Piranhas,MUNICÍPIO,30
71,Torixoréu,MUNICÍPIO,21
72,Córrego do Ouro,MUNICÍPIO,30
73,Eunápolis,MUNICÍPIO,29
74,Mesquita,MUNICÍPIO,23
75,Cambuquira,MUNICÍPIO,24
76,Conceição do Rio Verde,MUNICÍPIO,24
77,Cruzília,MUNICÍPIO,24
78,Sabáudia,MUNICÍPIO,17
79,Cajamar,MUNICÍPIO,31
80,Caieiras,MUNICÍPIO,31
81,Pirapora do Bom Jesus,MUNICÍPIO,31
82,Tejupá,MUNICÍPIO,31
83,Piatã,MUNICÍPIO,29
84,Abaíra,MUNICÍPIO,29
85,Cavalcante,MUNICÍPIO,30
86,Arraias,MUNICÍPIO,15
87,Santana,MUNICÍPIO,29
88,Santa Maria da Vitória,MUNICÍPIO,29
89,Paramirim,MUNICÍPIO,29
90,Iramaia,MUNICÍPIO,29
91,Rio de Contas,MUNICÍPIO,29
92,Minaçu,MUNICÍPIO,30
93,Trombas,MUNICÍPIO,30
94,Colorado do Oeste,MUNICÍPIO,9
95,Alto Paraíso de Goiás,MUNICÍPIO,30
96,Montividiu do Norte,MUNICÍPIO,30
97,Igrapiúna,MUNICÍPIO,29
98,Macaúbas,MUNICÍPIO,29
99,São Desidério,MUNICÍPIO,29
100,Paratinga,MUNICÍPIO,29
101,Sítio do Mato,MUNICÍPIO,29
102,Araguaçu,MUNICÍPIO,15
103,Iaçu,MUNICÍPIO,29
104,Campos Belos,MUNICÍPIO,30
105,Baianópolis,MUNICÍPIO,29
106,Boa Vista do Tupim,MUNICÍPIO,29
107,Ibipitanga,MUNICÍPIO,29
108,Estrela do Norte,MUNICÍPIO,30
109,Carlos Barbosa,MUNICÍPIO,22
110,Tijucas do Sul,MUNICÍPIO,17
111,Barreirinha,MUNICÍPIO,11
112,Rio Maria,MUNICÍPIO,13
113,Tapes,MUNICÍPIO,22
114,Belo Oriente,MUNICÍPIO,24
115,Santa Vitória,MUNICÍPIO,24
116,Seabra,MUNICÍPIO,29
117,Ibitiara,MUNICÍPIO,29
118,Serra Dourada,MUNICÍPIO,29
119,Registro,MUNICÍPIO,31
120,Itaoca,MUNICÍPIO,31
121,Ribeira,MUNICÍPIO,31
122,Arapuã,MUNICÍPIO,17
123,Apiaí,MUNICÍPIO,31
124,Santa Vitória do Palmar,MUNICÍPIO,22
125,Ubiratã,MUNICÍPIO,17
126,Jequié,MUNICÍPIO,29
127,Matina,MUNICÍPIO,29
128,Formoso,MUNICÍPIO,30
129,Livramento de Nossa Senhora,MUNICÍPIO,29
130,Guarani de Goiás,MUNICÍPIO,30
131,Lindolfo Collor,MUNICÍPIO,22
132,Santo Amaro,MUNICÍPIO,29
133,Uruçuí,MUNICÍPIO,6
134,Serra Nova Dourada,MUNICÍPIO,21
135,Manoel Emídio,MUNICÍPIO,6
136,Rafael Jambeiro,MUNICÍPIO,29
137,Santa Terezinha,MUNICÍPIO,29
138,Cachoeira,MUNICÍPIO,29
139,Taguatinga,MUNICÍPIO,15
140,Parecis,MUNICÍPIO,9
141,Aurora do Tocantins,MUNICÍPIO,15
142,Castro Alves,MUNICÍPIO,29
143,Iraquara,MUNICÍPIO,29
144,Ipecaetá,MUNICÍPIO,29
145,Feira de Santana,MUNICÍPIO,29
146,Conceição do Jacuípe,MUNICÍPIO,29
147,Ponte Alta do Bom Jesus,MUNICÍPIO,15
148,Conceição do Tocantins,MUNICÍPIO,15
149,Taipas do Tocantins,MUNICÍPIO,15
150,Bom Jesus do Araguaia,MUNICÍPIO,21
151,Itanhangá,MUNICÍPIO,21
152,Coração de Maria,MUNICÍPIO,29
153,Cristópolis,MUNICÍPIO,29
154,Cabo de Santo Agostinho,MUNICÍPIO,28
155,São João do Arraial,MUNICÍPIO,6
156,Santa Tereza de Goiás,MUNICÍPIO,30
157,Pires do Rio,MUNICÍPIO,30
158,Santo Antônio da Barra,MUNICÍPIO,30
159,Barra do Ouro,MUNICÍPIO,15
160,Viamão,MUNICÍPIO,22
161,Paraúna,MUNICÍPIO,30
162,Santa Rita do Araguaia,MUNICÍPIO,30
163,Planalto,MUNICÍPIO,31
164,Platina,MUNICÍPIO,31
165,Pontalinda,MUNICÍPIO,31
166,Porto Feliz,MUNICÍPIO,31
167,Londrina,MUNICÍPIO,17
168,Bertioga,MUNICÍPIO,31
169,Araruama,MUNICÍPIO,23
170,Pantano Grande,MUNICÍPIO,22
429,Colina,MUNICÍPIO,31
171,Barra do Ribeiro,MUNICÍPIO,22
172,Rio Pardo,MUNICÍPIO,22
173,São Sepé,MUNICÍPIO,22
174,Alegrete,MUNICÍPIO,22
175,Cachoeira do Sul,MUNICÍPIO,22
176,Eldorado do Sul,MUNICÍPIO,22
177,Arroio dos Ratos,MUNICÍPIO,22
178,Montenegro,MUNICÍPIO,22
179,Timbó,MUNICÍPIO,18
180,Novo Cabrais,MUNICÍPIO,22
181,Piên,MUNICÍPIO,17
182,Gararu,MUNICÍPIO,20
183,Bom Retiro,MUNICÍPIO,18
184,Tunápolis,MUNICÍPIO,18
185,Sant'Ana do Livramento,MUNICÍPIO,22
186,Bom Jesus do Sul,MUNICÍPIO,17
187,Jarinu,MUNICÍPIO,31
188,Taubaté,MUNICÍPIO,31
189,Marechal Cândido Rondon,MUNICÍPIO,17
190,Mercedes,MUNICÍPIO,17
191,Igreja Nova,MUNICÍPIO,16
192,Terenos,MUNICÍPIO,19
193,Itu,MUNICÍPIO,31
194,Campo Alegre,MUNICÍPIO,18
195,São Mateus do Sul,MUNICÍPIO,17
196,Três Barras,MUNICÍPIO,18
197,Fraiburgo,MUNICÍPIO,18
198,Santa Cecília,MUNICÍPIO,18
199,Angélica,MUNICÍPIO,19
200,Nova Andradina,MUNICÍPIO,19
201,Maracaju,MUNICÍPIO,19
202,Jateí,MUNICÍPIO,19
203,Quitandinha,MUNICÍPIO,17
204,Chopinzinho,MUNICÍPIO,17
205,Reserva do Iguaçu,MUNICÍPIO,17
206,Novo Horizonte do Sul,MUNICÍPIO,19
207,Eldorado,MUNICÍPIO,19
208,Douradina,MUNICÍPIO,19
209,Ivinhema,MUNICÍPIO,19
210,Guia Lopes da Laguna,MUNICÍPIO,19
211,Dois Irmãos do Buriti,MUNICÍPIO,19
212,Campo Magro,MUNICÍPIO,17
213,Colombo,MUNICÍPIO,17
214,Quedas do Iguaçu,MUNICÍPIO,17
215,São Miguel do Iguaçu,MUNICÍPIO,17
216,Catanduvas,MUNICÍPIO,17
217,Fernandes Pinheiro,MUNICÍPIO,17
218,Santa Helena,MUNICÍPIO,17
219,Uruguaiana,MUNICÍPIO,22
220,Laranjal Paulista,MUNICÍPIO,31
221,Quaraí,MUNICÍPIO,22
222,Aral Moreira,MUNICÍPIO,19
223,Mundo Novo,MUNICÍPIO,19
224,Japorã,MUNICÍPIO,19
225,Coronel Sapucaia,MUNICÍPIO,19
226,Elias Fausto,MUNICÍPIO,31
227,Avaré,MUNICÍPIO,31
228,Cambé,MUNICÍPIO,17
229,Ipaussu,MUNICÍPIO,31
230,Ilhéus,MUNICÍPIO,29
231,Piracaia,MUNICÍPIO,31
232,Céu Azul,MUNICÍPIO,17
233,Teixeira Soares,MUNICÍPIO,17
234,Cerro Azul,MUNICÍPIO,17
235,Candói,MUNICÍPIO,17
236,Porto Amazonas,MUNICÍPIO,17
237,Porto Barreiro,MUNICÍPIO,17
238,Reserva,MUNICÍPIO,17
239,Sete Barras,MUNICÍPIO,31
240,Iporanga,MUNICÍPIO,31
241,Quatro Pontes,MUNICÍPIO,17
242,Nova Tebas,MUNICÍPIO,17
243,Campina da Lagoa,MUNICÍPIO,17
244,Palotina,MUNICÍPIO,17
245,Miracatu,MUNICÍPIO,31
246,Rancho Alegre D'Oeste,MUNICÍPIO,17
247,Itariri,MUNICÍPIO,31
248,Pedro de Toledo,MUNICÍPIO,31
249,Guapiara,MUNICÍPIO,31
250,Juquiá,MUNICÍPIO,31
251,Ortigueira,MUNICÍPIO,17
252,Bom Sucesso de Itararé,MUNICÍPIO,31
253,Arapoti,MUNICÍPIO,17
254,Santo Antônio dos Lopes,MUNICÍPIO,7
255,Itambé,MUNICÍPIO,17
256,Marumbi,MUNICÍPIO,17
257,Itaporanga,MUNICÍPIO,31
258,Bom Sucesso,MUNICÍPIO,17
259,Jussara,MUNICÍPIO,17
260,Riachuelo,MUNICÍPIO,25
261,Alto Paraíso,MUNICÍPIO,17
262,Itaquiraí,MUNICÍPIO,19
263,Salesópolis,MUNICÍPIO,31
264,Jupi,MUNICÍPIO,28
265,São Roque,MUNICÍPIO,31
266,Mandaguari,MUNICÍPIO,17
267,Minas do Leão,MUNICÍPIO,22
268,Cacequi,MUNICÍPIO,22
269,General Câmara,MUNICÍPIO,22
313,Videira,MUNICÍPIO,18
314,Xavantina,MUNICÍPIO,18
315,Mairipotaba,MUNICÍPIO,30
316,Piracanjuba,MUNICÍPIO,30
317,Curvelândia,MUNICÍPIO,21
318,Ponte Branca,MUNICÍPIO,21
319,Araçaí,MUNICÍPIO,24
320,Rio Verde de Mato Grosso,MUNICÍPIO,19
321,Serra do Ramalho,MUNICÍPIO,29
322,Paranaiguara,MUNICÍPIO,30
270,São Miguel do Fidalgo,MUNICÍPIO,6
271,Praia Grande,MUNICÍPIO,31
272,Praia Grande,MUNICÍPIO,18
273,Flores da Cunha,MUNICÍPIO,22
274,Relvado,MUNICÍPIO,22
275,Nova Roma do Sul,MUNICÍPIO,22
276,Presidente Epitácio,MUNICÍPIO,31
277,Promissão,MUNICÍPIO,31
278,Fontoura Xavier,MUNICÍPIO,22
279,Maiquinique,MUNICÍPIO,29
280,Arroio do Tigre,MUNICÍPIO,22
281,Jacuizinho,MUNICÍPIO,22
282,Progresso,MUNICÍPIO,22
283,Novo Repartimento,MUNICÍPIO,13
284,Tucuruí,MUNICÍPIO,13
285,Santa Inês,MUNICÍPIO,7
286,Olho d'Água das Cunhãs,MUNICÍPIO,7
287,Altamira do Maranhão,MUNICÍPIO,7
288,Soledade,MUNICÍPIO,22
289,Lagoão,MUNICÍPIO,22
290,Coqueiro Baixo,MUNICÍPIO,22
291,Caxias do Sul,MUNICÍPIO,22
292,Canudos do Vale,MUNICÍPIO,22
293,Ouro Verde de Minas,MUNICÍPIO,24
294,Manhuaçu,MUNICÍPIO,24
295,Marliéria,MUNICÍPIO,24
296,Rio Piracicaba,MUNICÍPIO,24
297,Juti,MUNICÍPIO,19
298,Paranapanema,MUNICÍPIO,31
299,Valinhos,MUNICÍPIO,31
300,Votorantim,MUNICÍPIO,31
301,Mairinque,MUNICÍPIO,31
302,Araçoiaba da Serra,MUNICÍPIO,31
303,Ribeirão do Pinhal,MUNICÍPIO,17
304,Jundiaí do Sul,MUNICÍPIO,17
305,Quatiguá,MUNICÍPIO,17
306,Arês,MUNICÍPIO,25
307,Congonhas do Norte,MUNICÍPIO,24
308,Piraí,MUNICÍPIO,23
309,Fazenda Nova,MUNICÍPIO,30
310,Itapuca,MUNICÍPIO,22
311,Vera,MUNICÍPIO,21
312,Várzea Grande,MUNICÍPIO,21
323,Malhada,MUNICÍPIO,29
324,Arroio Grande,MUNICÍPIO,22
325,Cerrito,MUNICÍPIO,22
326,Piratini,MUNICÍPIO,22
327,Herval,MUNICÍPIO,22
328,Pedro Osório,MUNICÍPIO,22
329,Turuçu,MUNICÍPIO,22
330,São Lourenço do Sul,MUNICÍPIO,22
331,Campina das Missões,MUNICÍPIO,22
332,Coronel Martins,MUNICÍPIO,18
333,Novo Horizonte,MUNICÍPIO,18
334,Juscimeira,MUNICÍPIO,21
335,Santa Rosa do Piauí,MUNICÍPIO,6
336,Guiratinga,MUNICÍPIO,21
337,Bela Vista,MUNICÍPIO,19
338,Reserva do Cabaçal,MUNICÍPIO,21
339,Datas,MUNICÍPIO,24
340,Jauru,MUNICÍPIO,21
341,Vale de São Domingos,MUNICÍPIO,21
342,Camamu,MUNICÍPIO,29
343,Joaíma,MUNICÍPIO,24
344,Rio do Prado,MUNICÍPIO,24
345,Manoel Vitorino,MUNICÍPIO,29
346,Presidente Figueiredo,MUNICÍPIO,11
347,Mirante,MUNICÍPIO,29
348,Condeúba,MUNICÍPIO,29
349,Contendas do Sincorá,MUNICÍPIO,29
350,Jacaraci,MUNICÍPIO,29
351,Cordeiros,MUNICÍPIO,29
352,Mortugaba,MUNICÍPIO,29
353,São Félix do Coribe,MUNICÍPIO,29
354,Coroaci,MUNICÍPIO,24
355,Coribe,MUNICÍPIO,29
356,Carinhanha,MUNICÍPIO,29
357,Água Preta,MUNICÍPIO,28
358,Peçanha,MUNICÍPIO,24
359,Serro,MUNICÍPIO,24
360,Santo Antônio do Itambé,MUNICÍPIO,24
361,Inaciolândia,MUNICÍPIO,30
362,Jampruca,MUNICÍPIO,24
363,Mathias Lobato,MUNICÍPIO,24
364,Frei Inocêncio,MUNICÍPIO,24
365,Marilac,MUNICÍPIO,24
366,Cachoeira Alta,MUNICÍPIO,30
367,Serranópolis,MUNICÍPIO,30
368,Coxim,MUNICÍPIO,19
369,Chapadão do Céu,MUNICÍPIO,30
370,Inimutaba,MUNICÍPIO,24
371,Morro da Garça,MUNICÍPIO,24
372,Nacip Raydan,MUNICÍPIO,24
373,Presidente Kubitschek,MUNICÍPIO,24
374,Maurilândia,MUNICÍPIO,30
375,Porteirão,MUNICÍPIO,30
376,Santa Helena de Goiás,MUNICÍPIO,30
377,Vicentinópolis,MUNICÍPIO,30
378,Turvelândia,MUNICÍPIO,30
379,Alto Taquari,MUNICÍPIO,21
380,Sonora,MUNICÍPIO,19
381,Rio Quente,MUNICÍPIO,30
382,Ibirapuã,MUNICÍPIO,29
383,Buenópolis,MUNICÍPIO,24
384,Nova Viçosa,MUNICÍPIO,29
385,Joviânia,MUNICÍPIO,30
386,Itamarandiba,MUNICÍPIO,24
387,Poté,MUNICÍPIO,24
388,Serra dos Aimorés,MUNICÍPIO,24
389,Aloândia,MUNICÍPIO,30
390,Olhos-d'Água,MUNICÍPIO,24
391,Jardim do Seridó,MUNICÍPIO,25
392,Assis Chateaubriand,MUNICÍPIO,17
393,Nova Aurora,MUNICÍPIO,17
394,Pitangueiras,MUNICÍPIO,31
395,Cana Verde,MUNICÍPIO,24
396,Jardinópolis,MUNICÍPIO,31
397,Cascavel,MUNICÍPIO,17
398,São Tiago,MUNICÍPIO,24
399,Cafel?ndia,MUNICÍPIO,17
400,Jesu?tas,MUNICÍPIO,17
401,Toledo,MUNICÍPIO,17
402,Tup?ssi,MUNICÍPIO,17
403,Pontal,MUNICÍPIO,31
404,Itapura,MUNICÍPIO,31
405,Camacho,MUNICÍPIO,24
406,Lagoa Dourada,MUNICÍPIO,24
407,Embaúba,MUNICÍPIO,31
408,Monte Azul Paulista,MUNICÍPIO,31
409,Santo Antônio do Amparo,MUNICÍPIO,24
410,Resende Costa,MUNICÍPIO,24
411,Cedral,MUNICÍPIO,31
412,Batatais,MUNICÍPIO,31
413,Alpinópolis,MUNICÍPIO,24
414,Tanque Novo,MUNICÍPIO,29
415,Cristais,MUNICÍPIO,24
416,São José do Rio Preto,MUNICÍPIO,31
417,Monções,MUNICÍPIO,31
418,Olímpia,MUNICÍPIO,31
419,Nova Castilho,MUNICÍPIO,31
420,Pratápolis,MUNICÍPIO,24
421,Taquarituba,MUNICÍPIO,31
422,Pereira Barreto,MUNICÍPIO,31
423,Sales Oliveira,MUNICÍPIO,31
424,Guapé,MUNICÍPIO,24
425,Oliveira,MUNICÍPIO,24
426,São Miguel do Anta,MUNICÍPIO,24
427,Guapiaçu,MUNICÍPIO,31
428,Nhandeara,MUNICÍPIO,31
430,Terra Roxa,MUNICÍPIO,31
431,Candeias,MUNICÍPIO,24
432,Itaú de Minas,MUNICÍPIO,24
433,São José da Barra,MUNICÍPIO,24
434,Capetinga,MUNICÍPIO,24
435,Orlândia,MUNICÍPIO,31
436,Nuporanga,MUNICÍPIO,31
437,Floreal,MUNICÍPIO,31
438,Sud Mennucci,MUNICÍPIO,31
439,Porto Firme,MUNICÍPIO,24
440,Canaã,MUNICÍPIO,24
441,Itaverava,MUNICÍPIO,24
442,Passa Tempo,MUNICÍPIO,24
443,Alagoa,MUNICÍPIO,24
444,Carneirinho,MUNICÍPIO,24
445,Cássia,MUNICÍPIO,24
446,Caxambu,MUNICÍPIO,24
447,Gramado Xavier,MUNICÍPIO,22
448,Malhada de Pedras,MUNICÍPIO,29
449,Floresta Azul,MUNICÍPIO,29
450,Boqueirão do Leão,MUNICÍPIO,22
451,Macarani,MUNICÍPIO,29
452,Segredo,MUNICÍPIO,22
453,Tunas,MUNICÍPIO,22
454,Santana do Paraíso,MUNICÍPIO,24
455,Nova Alvorada,MUNICÍPIO,22
456,Nova Prata,MUNICÍPIO,22
457,André da Rocha,MUNICÍPIO,22
458,Meleiro,MUNICÍPIO,18
459,Monte Alegre dos Campos,MUNICÍPIO,22
460,Protásio Alves,MUNICÍPIO,22
461,Mombuca,MUNICÍPIO,31
462,Monte Mor,MUNICÍPIO,31
463,Óleo,MUNICÍPIO,31
464,Lorena,MUNICÍPIO,31
465,Quinze de Novembro,MUNICÍPIO,22
466,Tietê,MUNICÍPIO,31
467,Espumoso,MUNICÍPIO,22
468,Selbach,MUNICÍPIO,22
469,Serafina Corrêa,MUNICÍPIO,22
470,Ipê,MUNICÍPIO,22
471,Victor Graeff,MUNICÍPIO,22
472,Ibirapuitã,MUNICÍPIO,22
473,Itaqui,MUNICÍPIO,22
474,Camargo,MUNICÍPIO,22
475,Casca,MUNICÍPIO,22
476,Turvo,MUNICÍPIO,18
477,Pedra do Anta,MUNICÍPIO,24
478,Onda Verde,MUNICÍPIO,31
479,Carmo da Mata,MUNICÍPIO,24
480,São Joaquim da Barra,MUNICÍPIO,31
481,Jeceaba,MUNICÍPIO,24
482,Ouro Branco,MUNICÍPIO,24
483,Joaquim Távora,MUNICÍPIO,17
484,São Miguel do Araguaia,MUNICÍPIO,30
485,Ubaíra,MUNICÍPIO,29
486,Itaeté,MUNICÍPIO,29
487,Wenceslau Guimarães,MUNICÍPIO,29
488,Mucugê,MUNICÍPIO,29
489,Iperó,MUNICÍPIO,31
490,Jaguari,MUNICÍPIO,22
491,Anta Gorda,MUNICÍPIO,22
492,Capão do Cipó,MUNICÍPIO,22
493,São Borja,MUNICÍPIO,22
494,Dois Lajeados,MUNICÍPIO,22
495,São José dos Ausentes,MUNICÍPIO,22
496,Bom Jardim da Serra,MUNICÍPIO,18
497,São Vendelino,MUNICÍPIO,22
498,Cerro Branco,MUNICÍPIO,22
499,Arvorezinha,MUNICÍPIO,22
500,Jaquirana,MUNICÍPIO,22
501,São Marcos,MUNICÍPIO,22
502,Boa Vista do Incra,MUNICÍPIO,22
503,Antônio Prado,MUNICÍPIO,22
504,Japurá,MUNICÍPIO,11
505,São Gabriel da Cachoeira,MUNICÍPIO,11
506,Urucará,MUNICÍPIO,11
507,Jóia,MUNICÍPIO,22
508,Bom Jesus,MUNICÍPIO,22
509,Boa Vista do Cadeado,MUNICÍPIO,22
510,Cruzeiro do Sul,MUNICÍPIO,22
511,Sinimbu,MUNICÍPIO,22
512,Afuá,MUNICÍPIO,13
513,Nova Esperança do Sul,MUNICÍPIO,22
514,Vale do Sol,MUNICÍPIO,22
515,Santa Luzia do Norte,MUNICÍPIO,16
516,Passa Sete,MUNICÍPIO,22
517,Forquetinha,MUNICÍPIO,22
518,Nova Petrópolis,MUNICÍPIO,22
519,Herveiras,MUNICÍPIO,22
520,Sério,MUNICÍPIO,22
521,Ciríaco,MUNICÍPIO,22
522,Grão Pará,MUNICÍPIO,18
523,Passo Fundo,MUNICÍPIO,22
524,Água Santa,MUNICÍPIO,22
525,Muitos Capões,MUNICÍPIO,22
526,Caibaté,MUNICÍPIO,22
527,Caseiros,MUNICÍPIO,22
528,Ibiraiaras,MUNICÍPIO,22
529,Capão Alto,MUNICÍPIO,18
530,Rolador,MUNICÍPIO,22
531,Roque Gonzales,MUNICÍPIO,22
532,Condor,MUNICÍPIO,22
533,São Francisco de Paula,MUNICÍPIO,24
542,Envira,MUNICÍPIO,11
543,Beruri,MUNICÍPIO,11
544,Boa Vista do Ramos,MUNICÍPIO,11
651,Mateiros,MUNICÍPIO,15
652,São Gabriel,MUNICÍPIO,29
653,Queimadas,MUNICÍPIO,29
534,Barra de Guabiraba,MUNICÍPIO,28
535,Colméia,MUNICÍPIO,15
536,Itaporã do Tocantins,MUNICÍPIO,15
537,Dois Irmãos,MUNICÍPIO,22
538,Nicolau Vergueiro,MUNICÍPIO,22
539,Amaturá,MUNICÍPIO,11
540,Passa e Fica,MUNICÍPIO,25
545,Araricá,MUNICÍPIO,22
546,Pompéia,MUNICÍPIO,31
547,Capanema,MUNICÍPIO,13
548,Nova Timboteua,MUNICÍPIO,13
549,Tupi Paulista,MUNICÍPIO,31
550,Capitólio,MUNICÍPIO,24
551,Lizarda,MUNICÍPIO,15
552,Pinheiro Machado,MUNICÍPIO,22
553,Aceguá,MUNICÍPIO,22
554,Nova Mamoré,MUNICÍPIO,9
556,Arambaré,MUNICÍPIO,22
557,Pinhal Grande,MUNICÍPIO,22
558,Talismã,MUNICÍPIO,15
559,Encruzilhada do Sul,MUNICÍPIO,22
560,Formigueiro,MUNICÍPIO,22
561,Santa Maria,MUNICÍPIO,22
562,Barra do Quaraí,MUNICÍPIO,22
563,Triunfo,MUNICÍPIO,22
654,Lagarto,MUNICÍPIO,20
655,Feijó,MUNICÍPIO,10
656,Poço Redondo,MUNICÍPIO,20
657,Paraíso do Tocantins,MUNICÍPIO,15
658,Miracema do Tocantins,MUNICÍPIO,15
659,Morro Cabeça no Tempo,MUNICÍPIO,6
660,Divinópolis do Tocantins,MUNICÍPIO,15
661,Alto Paraíso,MUNICÍPIO,9
662,Buritis,MUNICÍPIO,9
663,São Félix do Tocantins,MUNICÍPIO,15
1386,Caibi,MUNICÍPIO,18
541,Mata,MUNICÍPIO,22
565,Canavieira,MUNICÍPIO,6
566,Lagoa da Canoa,MUNICÍPIO,16
616,Serrinha,MUNICÍPIO,29
617,Olindina,MUNICÍPIO,29
618,Gurupi,MUNICÍPIO,15
619,Manicoré,MUNICÍPIO,11
620,São Miguel do Guaporé,MUNICÍPIO,9
621,São José do Jacuípe,MUNICÍPIO,29
622,Itapicuru,MUNICÍPIO,29
623,Novo Acordo,MUNICÍPIO,15
624,Presidente Médici,MUNICÍPIO,9
625,Juara,MUNICÍPIO,21
626,Capim Grosso,MUNICÍPIO,29
627,Lagoa da Confusão,MUNICÍPIO,15
628,Natividade,MUNICÍPIO,15
629,Wanderley,MUNICÍPIO,29
630,Mansidão,MUNICÍPIO,29
631,Peixe,MUNICÍPIO,15
632,Cotegipe,MUNICÍPIO,29
633,Morro do Chapéu,MUNICÍPIO,29
634,Miguel Calmon,MUNICÍPIO,29
635,Santa Rita de Cássia,MUNICÍPIO,29
636,Santaluz,MUNICÍPIO,29
567,Teixeirópolis,MUNICÍPIO,9
568,Timbiras,MUNICÍPIO,7
569,Pontão,MUNICÍPIO,22
570,Bonfim do Piauí,MUNICÍPIO,6
571,São Paulo das Missões,MUNICÍPIO,22
572,Nova Candelária,MUNICÍPIO,22
573,Crissiumal,MUNICÍPIO,22
574,Baía da Traição,MUNICÍPIO,27
575,Pirapó,MUNICÍPIO,22
576,Santo Expedito do Sul,MUNICÍPIO,22
637,Barrolândia,MUNICÍPIO,15
638,Piritiba,MUNICÍPIO,29
639,Mairi,MUNICÍPIO,29
640,Quijingue,MUNICÍPIO,29
641,Rondolândia,MUNICÍPIO,21
642,União do Sul,MUNICÍPIO,21
643,Almas,MUNICÍPIO,15
644,Santa Carmem,MUNICÍPIO,21
645,Inhambupe,MUNICÍPIO,29
646,Mundo Novo,MUNICÍPIO,29
647,Brasnorte,MUNICÍPIO,21
648,Alto Boa Vista,MUNICÍPIO,21
649,Gentio do Ouro,MUNICÍPIO,29
650,Xique-Xique,MUNICÍPIO,29
577,Timbé do Sul,MUNICÍPIO,18
578,Morpará,MUNICÍPIO,29
579,São Domingos,MUNICÍPIO,29
580,Porto Lucena,MUNICÍPIO,22
581,Cândido Godói,MUNICÍPIO,22
582,Saldanha Marinho,MUNICÍPIO,22
583,Guarulhos,MUNICÍPIO,31
584,Riacho de Santana,MUNICÍPIO,29
585,Monte Alegre de Goiás,MUNICÍPIO,30
586,Nova América da Colina,MUNICÍPIO,17
587,Natividade da Serra,MUNICÍPIO,31
588,Alambari,MUNICÍPIO,31
589,Angatuba,MUNICÍPIO,31
590,Poá,MUNICÍPIO,31
591,Carlópolis,MUNICÍPIO,17
592,Capela do Alto,MUNICÍPIO,31
593,Araçariguama,MUNICÍPIO,31
594,Iaciara,MUNICÍPIO,30
595,Caetité,MUNICÍPIO,29
596,Campinápolis,MUNICÍPIO,21
597,Gaúcha do Norte,MUNICÍPIO,21
598,Ituaçu,MUNICÍPIO,29
599,Nilo Peçanha,MUNICÍPIO,29
600,Nova Roma,MUNICÍPIO,30
601,Santa Rita do Trivelato,MUNICÍPIO,21
602,Nova Maringá,MUNICÍPIO,21
603,Nova Ubiratã,MUNICÍPIO,21
604,Campinorte,MUNICÍPIO,30
605,Dom Basílio,MUNICÍPIO,29
606,Itaporanga d'Ajuda,MUNICÍPIO,20
